Date,Predict,Actual
2020-03-31,215.1666556315975,254.289993
2019-12-31,242.54066841974998,293.649994
2019-09-30,188.25194222554958,223.97000099999997
2019-06-30,178.03781483179074,197.919998
2019-03-31,176.09514564539407,189.949997
2018-12-31,155.58442609519187,157.740005
2018-09-30,193.32022812466857,225.74000499999997
2018-06-30,170.4137400362245,185.110001
2018-03-31,163.59527574281174,167.779999
2017-12-31,153.86715002962967,169.229996
2017-09-30,136.20118207291603,154.119995
2017-06-30,131.15547135730304,144.020004
2017-03-31,130.8517158282521,143.66000400000001
2016-12-31,102.46883327889404,115.82
2016-09-30,104.05225741623694,113.050003
2016-06-30,90.90924020292582,95.599998
2016-03-31,100.26822392692377,108.989998
2015-12-31,95.98504187977746,105.260002
2015-09-30,93.96740419559109,110.300003
2015-06-30,104.98206439837706,125.43
2015-03-31,111.86286737909829,124.43
2014-12-31,97.87386869445605,110.379997
2014-09-30,86.48696629144503,100.75
2014-06-30,81.56072736627995,92.93
2014-03-31,70.38470788852844,76.677139
2013-12-31,73.13389033230457,80.145714
2013-09-30,65.46916113363224,68.10714
2013-06-30,53.03409253656744,56.647144
2013-03-31,65.76362385772198,63.237143999999994
2012-12-31,74.48606586811437,76.024284
2012-09-30,95.14145700900444,95.300003
2012-06-30,86.65282982474174,83.428574
2012-03-31,86.83536665884797,85.650002
2011-12-31,58.437789954819166,57.85714300000001
2011-09-30,60.14264551887817,54.474284999999995
2011-06-30,49.46470185931375,47.952858
2011-03-31,49.40460927831532,49.787144
